name,weighted,edges,nodes,log_nodes,max_degree,mean_degree,min_degree,log_nodes_rounded
fullerene_structures/C1500,True,4500,1500,7.313220387090301,3,3.0,3,8
fullerene_structures/C180,True,540,180,5.19295685089021,3,3.0,3,6
fullerene_structures/C2160,True,6480,2160,7.67786350067821,3,3.0,3,8
fullerene_structures/C240,True,720,240,5.480638923341991,3,3.0,3,6
fullerene_structures/C260,True,780,260,5.560681631015528,3,3.0,3,6
fullerene_structures/C2940,True,8820,2940,7.986164860332727,3,3.0,3,8
fullerene_structures/C320,True,960,320,5.768320995793772,3,3.0,3,6
fullerene_structures/C3840,True,11520,3840,8.253227645581772,3,3.0,3,9
fullerene_structures/C4860,True,14580,4860,8.48879371689454,3,3.0,3,9
fullerene_structures/C500,True,1500,500,6.214608098422191,3,3.0,3,7
fullerene_structures/C540,True,1620,540,6.29156913955832,3,3.0,3,7
fullerene_structures/C60,True,180,60,4.0943445622221,3,3.0,3,5
fullerene_structures/C6000,True,18000,6000,8.699514748210191,3,3.0,3,9
fullerene_structures/C720,True,2160,720,6.579251212010101,3,3.0,3,7
fullerene_structures/C960,True,2880,960,6.866933284461882,3,3.0,3,7
internet_top_pop/Abilene,False,28,11,2.3978952727983707,3,2.5454545454545454,2,3
internet_top_pop/Arpanet19706,False,20,9,2.19722457733622,3,2.2222222222222223,1,3
internet_top_pop/Arpanet19723,False,56,25,3.218875824868201,3,2.24,1,4
internet_top_pop/Arpanet19728,False,64,29,3.367295829986474,3,2.206896551724138,2,4
internet_top_pop/Atmnet,False,44,21,3.044522437723423,3,2.095238095238096,1,4
internet_top_pop/Biznet,False,66,29,3.367295829986474,4,2.2758620689655173,1,4
internet_top_pop/Columbus,False,170,70,4.248495242049359,5,2.4285714285714284,1,5
internet_top_pop/Darkstrand,False,62,28,3.332204510175204,3,2.2142857142857144,2,4
internet_top_pop/DialtelecomCz,False,302,193,5.262690188904886,6,1.5647668393782384,0,6
internet_top_pop/Digex,False,76,31,3.4339872044851463,4,2.4516129032258065,2,4
internet_top_pop/Grena,False,30,16,2.772588722239781,3,1.875,1,3
internet_top_pop/HiberniaCanada,False,28,13,2.5649493574615367,3,2.1538461538461537,1,3
internet_top_pop/HiberniaUk,False,30,15,2.70805020110221,3,2.0,1,3
internet_top_pop/HiberniaUs,False,58,22,3.091042453358316,4,2.636363636363636,1,4
internet_top_pop/Kdl,False,1798,754,6.625392368007956,7,2.3846153846153846,1,7
internet_top_pop/Missouri,False,166,67,4.204692619390966,5,2.4776119402985075,1,5
internet_top_pop/Packetexchange,False,54,21,3.044522437723423,4,2.571428571428572,1,4
internet_top_pop/Psinet,False,50,24,3.1780538303479458,4,2.083333333333333,1,4
internet_top_pop/Sago,False,34,18,2.8903717578961645,3,1.8888888888888888,1,3
internet_top_pop/Sanren,False,14,7,1.9459101490553128,2,2.0,2,2
internet_top_pop/Shentel,False,70,28,3.332204510175204,4,2.5,1,4
internet_top_pop/Telecomserbia,False,12,6,1.791759469228055,2,2.0,2,2
internet_top_pop/UsCarrier,False,378,158,5.062595033026967,6,2.392405063291139,1,6
internet_top_pop/UsSignal,False,158,63,4.143134726391533,5,2.507936507936508,0,5
internet_top_pop/VisionNet,False,46,24,3.1780538303479458,3,1.9166666666666667,1,4
internet_top_pop/VtlWavenet2008,False,184,88,4.477336814478207,4,2.090909090909091,2,5
internet_top_pop/VtlWavenet2011,False,192,92,4.5217885770490405,4,2.0869565217391304,1,5
internet_top_pop/York,False,48,23,3.1354942159291497,4,2.0869565217391304,1,4
urban_streets/ahmedabad,False,8774,2870,7.962067308753666,5,3.057142857142857,1,8
urban_streets/barcelona,False,646,210,5.3471075307174685,6,3.0761904761904764,1,6
urban_streets/bologna,False,1546,541,6.293419278846481,5,2.857670979667283,1,7
urban_streets/brasilia,False,460,179,5.187385805840755,5,2.569832402234637,1,6
urban_streets/cairo,False,4510,1496,7.310550158534422,5,3.014705882352941,1,8
urban_streets/irvine1,False,72,32,3.4657359027997265,4,2.25,1,4
urban_streets/irvine2,False,454,217,5.37989735354046,4,2.092165898617512,1,6
urban_streets/london,False,1460,488,6.190315405853148,5,2.9918032786885247,1,7
urban_streets/los-angeles,False,680,240,5.480638923341991,5,2.833333333333333,1,6
urban_streets/new-delhi,False,668,252,5.529429087511423,5,2.6507936507936507,1,6
urban_streets/new-york,False,838,248,5.513428746164983,5,3.379032258064516,1,6
urban_streets/paris,False,988,335,5.814130531825066,6,2.9492537313432834,1,6
urban_streets/richmond,False,2172,697,6.546785410760524,5,3.116212338593974,1,7
urban_streets/san-francisco,False,542,169,5.1298987149230735,5,3.2071005917159763,1,6
urban_streets/savannah,False,1916,584,6.369900982828227,5,3.280821917808219,1,7
urban_streets/seoul,False,2614,869,6.767343125265392,5,3.008055235903337,1,7
urban_streets/venice,False,4814,1840,7.517520850603031,5,2.616304347826087,1,8
urban_streets/vienna,False,1384,467,6.1463292576688975,5,2.9635974304068524,1,7
urban_streets/walnut-creek,False,394,169,5.1298987149230735,4,2.331360946745562,1,6
