name,weighted,edges,nodes,log_nodes,max_degree,mean_degree,min_degree
sa_companies,False,26,11,2.3978952727983707,4,2.3636363636363638,1
high_tech_company,True,312,21,3.044522437723423,40,29.714285714285715,14
moreno_taro,False,78,22,3.091042453358316,12,7.090909090909091,6
november17,False,132,22,3.091042453358316,14,6.0,1
sp_baboons/observational,False,3197,23,3.1354942159291497,828,278.0,1
sp_baboons/sensor,False,126190,13,2.5649493574615367,17019,9706.923076923076,4112
dutch_school/klas12b-net-1,True,91,26,3.258096538021482,13,7.0,2
dutch_school/klas12b-net-2,True,144,26,3.258096538021482,35,11.076923076923077,3
dutch_school/klas12b-net-3,True,234,26,3.258096538021482,52,18.0,6
dutch_school/klas12b-net-3m,True,234,26,3.258096538021482,52,18.0,6
dutch_school/klas12b-net-4,True,170,26,3.258096538021482,52,13.076923076923077,5
dutch_school/klas12b-net-4m,True,170,26,3.258096538021482,52,13.076923076923077,5
dutch_school/klas12b-primary,True,87,26,3.258096538021482,16,6.6923076923076925,0
zebras,False,222,27,3.295836866004329,14,8.222222222222221,2
7th_graders,True,740,29,3.367295829986474,94,51.03448275862069,16
karate/77,False,154,34,3.5263605246161616,16,4.529411764705882,1
karate/78,False,156,34,3.5263605246161616,17,4.588235294117647,1
dutch_criticism,True,162,35,3.5553480614894135,12,4.628571428571429,1
montreal,False,156,35,3.5553480614894135,18,4.457142857142857,0
ceo_club,False,190,40,3.6888794541139363,21,4.75,2
elite,False,198,44,3.784189633918261,12,4.5,2
macaque_neural,False,1010,47,3.8501476017100584,42,21.48936170212766,3
sp_kenyan_households,False,65286,47,3.8501476017100584,4193,1389.063829787234,39
contiguous_usa,False,214,49,3.8918202981106265,8,4.36734693877551,1
cs_department,True,1240,61,4.110873864173311,49,20.327868852459016,2
dolphins,False,318,62,4.127134385045092,12,5.129032258064516,1
terrorists_911,False,304,62,4.127134385045092,22,4.903225806451613,1
law_firm,True,2571,71,4.2626798770413155,162,72.4225352112676,19
sp_hospital,False,64848,75,4.31748811353631,4286,864.64,12
reality_mining,True,2172808,96,4.564348191467836,98257,22633.416666666668,4
swingers,False,232,96,4.564348191467836,33,4.833333333333333,1
polbooks,False,882,105,4.653960350157523,25,8.4,2
adjnoun,False,850,112,4.718498871295094,49,7.589285714285714,1
fresh_webs/AkatoreA,True,227,85,4.442651256490317,31,5.341176470588235,0
fresh_webs/AkatoreB,True,117,58,4.060443010546419,26,4.0344827586206895,0
fresh_webs/Berwick,True,240,79,4.3694478524670215,35,6.075949367088608,0
fresh_webs/Blackrock,True,375,87,4.465908118654584,35,8.620689655172415,0
fresh_webs/Broad,True,565,95,4.553876891600541,32,11.894736842105264,0
fresh_webs/Canton,True,718,110,4.700480365792417,48,13.054545454545455,0
fresh_webs/Catlins,True,110,49,3.8918202981106265,27,4.489795918367347,0
fresh_webs/Coweeta1,True,126,58,4.060443010546419,26,4.344827586206897,1
fresh_webs/Coweeta17,True,148,71,4.2626798770413155,32,4.169014084507042,1
fresh_webs/DempstersAu,True,415,86,4.454347296253507,31,9.651162790697674,0
fresh_webs/DempstersSp,True,538,97,4.574710978503383,34,11.092783505154639,0
fresh_webs/DempstersSu,True,966,107,4.672828834461906,45,18.05607476635514,1
fresh_webs/German,True,353,86,4.454347296253507,36,8.209302325581396,0
