name,weighted,edges,nodes,log_nodes,max_degree,mean_degree,min_degree
packet_delays,False,9567,10,2.302585092994046,2007,1913.4,1553
ambassador/1985_1989,True,38,16,2.772588722239781,7,2.375,0
ambassador/1990_1994,True,72,16,2.772588722239781,8,4.5,0
ambassador/1995_1999,True,98,16,2.772588722239781,10,6.125,0
ambassador/2000,True,138,16,2.772588722239781,14,8.625,1
ambassador/2001,True,138,16,2.772588722239781,14,8.625,1
ambassador/2002,True,100,16,2.772588722239781,12,6.25,0
ambassador/2003,True,26,16,2.772588722239781,7,1.625,0
ambassador/2004,True,2,16,2.772588722239781,1,0.125,0
ambassador/2005,True,2,16,2.772588722239781,1,0.125,0
ambassador/2006,True,8,16,2.772588722239781,3,0.5,0
ambassador/2007,True,6,16,2.772588722239781,3,0.375,0
ambassador/KINSHIP,True,12,16,2.772588722239781,3,0.75,0
ambassador/OPERATION_ID,True,138,16,2.772588722239781,14,8.625,1
ambassador/TIE_EXTINGUISH,True,138,16,2.772588722239781,14,8.625,1
ambassador/TIE_YEAR,True,138,16,2.772588722239781,14,8.625,1
rhesus_monkey,True,111,16,2.772588722239781,20,13.875,4
kangaroo,True,182,17,2.833213344056216,15,10.705882352941176,1
sp_baboons/observational,False,3197,23,3.1354942159291497,828,278.0,1
sp_baboons/sensor,False,126190,13,2.5649493574615367,17019,9706.923076923076,4112
bison,True,314,26,3.258096538021482,39,24.153846153846153,7
cattle,True,217,28,3.332204510175204,24,15.5,1
moreno_sheep,True,250,28,3.332204510175204,26,17.857142857142858,4
college_freshmen,True,3062,32,3.4657359027997265,290,191.375,11
hens,False,496,32,3.4657359027997265,31,31.0,31
freshmen/t0,True,1156,34,3.5263605246161616,68,68.0,68
freshmen/t2,True,1156,34,3.5263605246161616,68,68.0,68
freshmen/t3,True,1156,34,3.5263605246161616,68,68.0,68
freshmen/t5,True,1156,34,3.5263605246161616,68,68.0,68
freshmen/t6,True,1156,34,3.5263605246161616,68,68.0,68
windsurfers,True,672,43,3.7612001156935624,31,15.627906976744185,6
macaques,True,1187,62,4.127134385045092,57,38.29032258064516,17
train_terrorists,True,486,64,4.1588830833596715,29,7.59375,1
highschool,True,366,70,4.248495242049359,23,10.457142857142857,2
blumenau_drug,True,362,75,4.31748811353631,24,4.826666666666667,1
lesmis,False,508,77,4.343805421853684,36,6.597402597402597,1
baseball/player-player,False,2178,72,4.276666119016055,46,30.25,3
baseball/user-provider,False,168,84,4.430816798843313,44,2.0,1
sp_office,False,19654,92,4.5217885770490405,1091,213.6304347826087,5
game_thrones,True,704,107,4.672828834461906,36,6.579439252336448,1
moviegalaxies/1,True,136,21,3.044522437723423,16,6.476190476190476,1
moviegalaxies/2,True,122,33,3.4965075614664802,23,3.696969696969697,1
moviegalaxies/3,True,94,25,3.2188758248682006,12,3.76,1
moviegalaxies/5,True,20,9,2.1972245773362196,8,2.2222222222222223,1
moviegalaxies/6,True,172,34,3.5263605246161616,28,5.0588235294117645,1
moviegalaxies/7,True,282,45,3.8066624897703196,28,6.266666666666667,1
moviegalaxies/8,True,256,36,3.58351893845611,31,7.111111111111111,1
moviegalaxies/9,True,136,33,3.4965075614664802,24,4.121212121212121,1
moviegalaxies/10,True,204,27,3.295836866004329,21,7.555555555555555,3
moviegalaxies/11,True,422,66,4.189654742026425,27,6.393939393939394,1
moviegalaxies/13,True,46,11,2.3978952727983707,9,4.181818181818182,1
moviegalaxies/14,True,248,42,3.7376696182833684,33,5.904761904761905,1
moviegalaxies/15,True,108,20,2.995732273553991,18,5.4,1
moviegalaxies/17,True,76,22,3.091042453358316,21,3.4545454545454546,1
moviegalaxies/19,True,152,29,3.367295829986474,21,5.241379310344827,1
moviegalaxies/21,True,190,39,3.6635616461296463,34,4.871794871794871,1
moviegalaxies/22,True,92,27,3.295836866004329,14,3.4074074074074074,1
